title,address,city,state,zip_code,price,beds,baths,area,region
Lot/Land For Sale,0 Wadsworth Hill & Old Gale Hill Rd,New Lebanon ,NY ,12212,395000,,,,albany
House For Sale,8 Ramsey Pl,Albany ,NY ,12208,169999,3,2,1200,albany
House For Sale,9 Shady Ln,Albany ,NY ,12203,240000,3,2,1620,albany
Lot/Land For Sale,0 Old Gale Hill Rd,New Lebanon ,NY ,12212,100000,,,,albany
Apartment For Sale,437 State St,Albany ,NY ,12203,359900,4,4,2352,albany
Apartment For Sale,436 State St,Albany ,NY ,12203,389900,,,,albany
Apartment For Sale,108 Southern Blvd,Albany ,NY ,12209,1000000,,,,albany
House For Sale,117 Berkshire Blvd,Albany ,NY ,12203,164900,3,1,1188,albany
Apartment For Sale,15 Arcadia Ave,Albany ,NY ,12209,229000,5,,2016,albany
House For Sale,5 Gage Ave,Albany ,NY ,12203,169900,3,2,980,albany
Pre-Foreclosure (Auction),Eagle St,Albany ,NY ,12202,,3,3,2706,albany
Pre-Foreclosure (Auction),Mount Hope Dr,Albany ,NY ,12202,,3,,1080,albany
House For Sale,27 Mohican Pl,Albany ,NY ,12208,244900,3,2,2040,albany
Apartment For Sale,259 Lark St,Albany ,NY ,12210,1999000,,,,albany
House For Sale,657 Morris St,Albany ,NY ,12208,174900,4,2,1652,albany
Apartment For Sale,177 Eagle St,Albany ,NY ,12202,269900,5,3,2898,albany
House For Sale,195 Livingston Ave,Albany ,NY ,12210,84900,,,2784,albany
House For Sale,57 Beacon Ave,Albany ,NY ,12203,175000,3,2,1057,albany
Condo For Sale,58 Westerlo St,Albany ,NY ,12202,59999,1,1,564,albany
House For Sale,343 2nd Ave,Albany ,NY ,12209,199900,4,2,2372,albany
House For Sale,329 Orange St,Albany ,NY ,12210,5000,,,,albany
House For Sale,309 Orange St,Albany ,NY ,12210,1000,,,,albany
Apartment For Sale,52 Philip St,Albany ,NY ,12207,224900,,,,albany
House For Sale,36 Kelton Ct,Albany ,NY ,12209,162000,3,3,1418,albany
House For Sale,67 N Manning Blvd,Albany ,NY ,12206,110000,6,,1880,albany
Apartment For Sale,151 Benson St,Albany ,NY ,12206,174900,6,2,2144,albany
Foreclosed,23 Benjamin St,Albany ,NY ,12202,,,,,albany
House For Sale,336 State St,Albany ,NY ,12210,334900,3,3,2772,albany
Apartment For Sale,48 Matilda St,Albany ,NY ,12209,199900,4,2,2774,albany
House For Sale,7 Wood Ter,Albany ,NY ,12208,169900,3,1,1393,albany
House For Sale,75 Lenox Ave,Albany ,NY ,12203,339000,3,3,1974,albany
House For Sale,226 Woodscape Dr,Albany ,NY ,12203,284900,3,2,2072,albany
Foreclosed,401 2nd Ave,Albany ,NY ,12209,,,,,albany
Townhouse For Sale,279 1/2 Hudson Ave,Albany ,NY ,12210,324900,4,4,2572,albany
Pre-Foreclosure (Auction),Hoffman Ave,Albany ,NY ,12209,,3,1,982,albany
For Sale by Owner,323 S Main Ave,Albany ,NY ,12209,239900,3,2,1986,albany
House For Sale,269 S Manning Blvd,Albany ,NY ,12208,295000,3,2,1797,albany
House For Sale,114 Russell Rd,Albany ,NY ,12203,189900,3,2,2037,albany
Pre-Foreclosure (Auction),Daytona Ave,Albany ,NY ,12203,,3,,1624,albany
Pre-Foreclosure (Auction),N Bridge Dr,Albany ,NY ,12203,,2,1,1024,albany
Pre-Foreclosure (Auction),Corlear St,Albany ,NY ,12209,,2,1,852,albany
Pre-Foreclosure (Auction),Grandview Ter,Albany ,NY ,12202,,3,1,1408,albany
House For Sale,71 S Lake Ave,Albany ,NY ,12203,359900,4,3,2400,albany
Apartment For Sale,9 Daytona Ave,Albany ,NY ,12203,245000,4,2,2128,albany
Apartment For Sale,5 Daytona Ave,Albany ,NY ,12203,245000,4,2,2128,albany
Apartment For Sale,189 S Allen St,Albany ,NY ,12208,245000,4,2,2262,albany
House For Sale,63 Cardinal Ave,Albany ,NY ,12208,189900,3,2,1302,albany
House For Sale,55 Hawthorne Ave,Albany ,NY ,12203,198555,3,2,1296,albany
House For Sale,115 N Pine Ave,Albany ,NY ,12203,177400,4,2,1571,albany
House For Sale,51 N Main Ave,Albany ,NY ,12203,177500,3,2,1520,albany
Apartment For Sale,89 N Pine Ave,Albany ,NY ,12203,284500,4,3,2960,albany
House For Sale,8 Birchwood Ct,Albany ,NY ,12211,379900,3,3,2539,albany
House For Sale,68 Hawthorne Ave,Albany ,NY ,12203,189999,3,2,1052,albany
House For Sale,35 Academy Rd,Albany ,NY ,12208,249000,5,3,2670,albany
Apartment For Sale,412 Madison Ave,Albany ,NY ,12210,235000,7,2,2400,albany
House For Sale,267 Schoolhouse Rd,Albany ,NY ,12203,139900,4,1,1732,albany
Lot/Land For Sale,51 3rd Ave,Albany ,NY ,12202,30000,,,,albany
Lot/Land For Sale,283 3rd St,Albany ,NY ,12206,500,,,,albany
Lot/Land For Sale,285 3rd St,Albany ,NY ,12206,500,,,,albany
House For Sale,382 1st St,Albany ,NY ,12206,5500,,,,albany
Lot/Land For Sale,105 Clinton Ave,Albany ,NY ,12210,2500,,,,albany
Lot/Land For Sale,213 Sheridan Ave,Albany ,NY ,12210,1500,,,,albany
House For Sale,812 New Scotland Ave,Albany ,NY ,12208,194900,3,2,1273,albany
House For Sale,812 New Scotland Ave,Albany ,NY ,12208,194900,3,2,1273,albany
House For Sale,24 Thatcher St,Albany ,NY ,12207,530000,3,2,2036,albany
For Sale by Owner,530 1st St,Albany ,NY ,12206,82500,6,2,2384,albany
Condo For Sale,17 Chapel St APT 504,Albany ,NY ,12210,479000,2,2,1590,albany
House For Sale,23 Fullerton St,Albany ,NY ,12209,149900,3,2,1344,albany
Lot/Land For Sale,Woodside Dr,Albany ,NY ,12208,40000,,,,albany
Apartment For Sale,644 Myrtle Ave,Albany ,NY ,12208,169900,6,2,2200,albany
Apartment For Sale,117 Hillcrest Ave # 119,Albany ,NY ,12203,162500,2,2,1300,albany
House For Sale,11 Jeanette St,Albany ,NY ,12209,49900,4,1,1244,albany
Pre-Foreclosure (Auction),3rd St,Albany ,NY ,12210,,3,,1920,albany
Pre-Foreclosure (Auction),Green St,Albany ,NY ,12202,,4,2,1648,albany
House For Sale,6 Grandview Ter,Albany ,NY ,12202,89900,3,2,1400,albany
Foreclosure,1427 Western Ave,Albany ,NY ,12203,196100,4,2,2398,albany
Apartment For Sale,70 2nd St,Albany ,NY ,12210,60000,,,,albany
House For Sale,39 Benson St,Albany ,NY ,12206,125000,2,1,1525,albany
House For Sale,200 Kent St,Albany ,NY ,12206,106000,2,2,1224,albany
House For Sale,114 S Manning Blvd,Albany ,NY ,12203,310000,4,3,2100,albany
House For Sale,200 Benson St,Albany ,NY ,12206,169900,3,1,1183,albany
Pre-Foreclosure (Auction),Oakwood St,Albany ,NY ,12208,,4,,1728,albany
Foreclosure,S Dove St,Albany ,NY ,12202,,6,2,2380,albany
Condo For Sale,17 Chapel St APT 603,Albany ,NY ,12210,299900,1,2,1190,albany
Condo For Sale,311 State St,Albany ,NY ,12210,519000,4,6,4440,albany
House For Sale,154 2nd St,Albany ,NY ,12210,51900,4,2,1672,albany
House For Sale,498 Livingston Ave,Albany ,NY ,12206,105000,3,1,1008,albany
Apartment For Sale,31 Main St,Albany ,NY ,12204,45500,4,2,2450,albany
Apartment For Sale,1067 Madison Ave,Albany ,NY ,12208,279900,5,2,2739,albany
House For Sale,27 Pinewood Ave,Albany ,NY ,12203,374900,3,4,2362,albany
House For Sale,42 Bower St,Albany ,NY ,12208,235500,3,3,1449,albany
House For Sale,716 Western Ave,Albany ,NY ,12203,499000,5,4,4303,albany
House For Sale,6 Coral Berry Cir,Albany ,NY ,12203,229950,4,3,2300,albany
House For Sale,366 Partridge St,Albany ,NY ,12208,149900,3,1,1513,albany
Pre-Foreclosure (Auction),Walter St,Albany ,NY ,12204,,5,2,2162,albany
House For Sale,205 Russell Rd,Albany ,NY ,12203,495000,5,3,3500,albany
Apartment For Sale,1028 Central Ave,Albany ,NY ,12205,179777,5,2,1837,albany
Apartment For Sale,679 Myrtle Ave,Albany ,NY ,12208,249900,6,2,2232,albany
Apartment For Sale,76 3rd Ave # 82,Albany ,NY ,12202,499900,,,,albany
House For Sale,12 Brookwood Ave,Albany ,NY ,12203,179900,4,2,1422,albany
House For Sale,307 S Manning Blvd,Albany ,NY ,12208,279900,4,3,2556,albany
House For Sale,220 Hansen Ave,Albany ,NY ,12208,294900,4,4,2704,albany
House For Sale,620 Myrtle Ave,Albany ,NY ,12208,209900,6,,2036,albany
