title,address,city,state,zip_code,price,beds,baths,area,region
House For Sale,211 Milton Ave,Syracuse ,NY ,13204,169000,4,2,1622,syracuse
Townhouse For Sale,133 Walton St APT 131,Syracuse ,NY ,13202,265000,2,2,1150,syracuse
Apartment For Sale,1246-48 Westcott St,Syracuse ,NY ,13210,217500,5,2,2109,syracuse
House For Sale,174 Sunhill Ter,Syracuse ,NY ,13207,99000,2,1,912,syracuse
Apartment For Sale,820 Court St,Syracuse ,NY ,13208,62000,7,2,2350,syracuse
House For Sale,611 Plymouth Dr,Syracuse ,NY ,13206,129900,3,2,1296,syracuse
House For Sale,1104 Bellevue Ave,Syracuse ,NY ,13204,69900,4,2,1633,syracuse
House For Sale,701 Maryland Ave,Syracuse ,NY ,13210,175000,5,2,2104,syracuse
House For Sale,1418 Teall Ave,Syracuse ,NY ,13206,34900,3,1,1500,syracuse
House For Sale,1011 Grant Blvd,Syracuse ,NY ,13203,94900,2,2,1054,syracuse
Apartment For Sale,223 Grace St,Syracuse ,NY ,13204,3500,6,2,2366,syracuse
House For Sale,512 Whittier Ave,Syracuse ,NY ,13204,99900,3,1,1429,syracuse
House For Sale,101 Windsor Pl,Syracuse ,NY ,13210,333900,5,4,2300,syracuse
House For Sale,804 Teall Ave,Syracuse ,NY ,13206,84900,3,2,1326,syracuse
Townhouse For Sale,108 W Jefferson St APT 705,Syracuse ,NY ,13202,155000,1,1,1088,syracuse
House For Sale,167 Briggs St,Syracuse ,NY ,13208,77900,3,1,1115,syracuse
For Sale by Owner,504 N Mcbride St APT 2,Syracuse ,NY ,13203,320000,7,6,6000,syracuse
House For Sale,278 W Borden Ave,Syracuse ,NY ,13205,6900,4,2,2120,syracuse
Apartment For Sale,119 Neutral Ct,Syracuse ,NY ,13208,22900,8,4,4650,syracuse
Apartment For Sale,103 Judson St,Syracuse ,NY ,13210,149900,7,,2434,syracuse
House For Sale,254 Jamesville Ave,Syracuse ,NY ,13210,44900,3,1,1248,syracuse
House For Sale,367 Tennyson Ave,Syracuse ,NY ,13204,104900,3,1,1470,syracuse
House For Sale,731 Ostrom Ave,Syracuse ,NY ,13210,465000,7,3,1924,syracuse
For Sale by Owner,211 Elizabeth St,Syracuse ,NY ,13205,45000,4,2,2640,syracuse
House For Sale,210 Pharis St,Syracuse ,NY ,13204,99900,3,2,2012,syracuse
House For Sale,132 Lafayette Rd,Syracuse ,NY ,13205,115000,3,2,1200,syracuse
Make Me Move®,1148 Cumberland Ave,Syracuse ,NY ,13210,157000,3,2,1404,syracuse
House For Sale,104 Austin Ave,Syracuse ,NY ,13207,119900,4,,1656,syracuse
House For Sale,316 Martin St,Syracuse ,NY ,13208,92900,3,1,1160,syracuse
