title,address,city,state,zip_code,price,beds,baths,area,region
House For Sale,674 Mckinley Pkwy,Buffalo ,NY ,14220,179900,5,2,2410,buffalo
House For Sale,387 Huntington Ave,Buffalo ,NY ,14214,499000,5,4,2638,buffalo
Apartment For Sale,93 Wyoming Ave,Buffalo ,NY ,14215,65000,4,2,1408,buffalo
House For Sale,28 Townsend St,Buffalo ,NY ,14206,43000,3,1,1028,buffalo
House For Sale,182 Colvin Ave,Buffalo ,NY ,14216,479900,,,,buffalo
House For Sale,31 University Ave,Buffalo ,NY ,14214,399900,4,4,2391,buffalo
Apartment For Sale,488 Cambridge Ave,Buffalo ,NY ,14215,43000,3,2,1419,buffalo
House For Sale,92 Royal Ave,Buffalo ,NY ,14207,44900,3,1,1212,buffalo
Townhouse For Sale,345 Lakefront Blvd,Buffalo ,NY ,14202,339900,2,3,1532,buffalo
Foreclosure,84 Pierce St,Buffalo ,NY ,14206,99900,4,2,1581,buffalo
House For Sale,16 Arkansas St,Buffalo ,NY ,14213,114900,3,2,1398,buffalo
House For Sale,144 Freund St,Buffalo ,NY ,14215,54900,3,1,1014,buffalo
House For Sale,210 Thompson St,Buffalo ,NY ,14207,45900,3,1,1200,buffalo
Apartment For Sale,223 Wood Ave,Buffalo ,NY ,14211,65000,6,2,2024,buffalo
Apartment For Sale,410 Cornwall Ave,Buffalo ,NY ,14215,74900,6,2,2280,buffalo
Apartment For Sale,30 Peace St,Buffalo ,NY ,14211,74900,5,2,2156,buffalo
Pre-Foreclosure (Auction),Central Ave,Buffalo ,NY ,14206,,6,2,2898,buffalo
Pre-Foreclosure,Benzinger St,Buffalo ,NY ,14206,,4,2,1728,buffalo
Pre-Foreclosure (Auction),Kensington Ave,Buffalo ,NY ,14215,,2,1,1044,buffalo
Pre-Foreclosure (Auction),Moselle St,Buffalo ,NY ,14215,,3,1,1170,buffalo
Pre-Foreclosure (Auction),Moreland St,Buffalo ,NY ,14206,,3,,1286,buffalo
House For Sale,355 Parkdale Ave,Buffalo ,NY ,14213,169000,3,1,1203,buffalo
House For Sale,15 Dempster St,Buffalo ,NY ,14206,74900,3,1,1147,buffalo
