title,address,city,state,zip_code,price,beds,baths,area,region
House For Sale,60 Mygatt St,Binghamton ,NY ,13905,59900,3,2,1315,binghamton
House For Sale,24 Rotary Ave,Binghamton ,NY ,13905,169500,4,2,2290,binghamton
House For Sale,13 Midway Dr,Binghamton ,NY ,13903,39500,3,1,1224,binghamton
Apartment For Sale,13 Carlton St,Binghamton ,NY ,13903,139900,,,,binghamton
House For Sale,6 Gary St,Binghamton ,NY ,13905,95000,4,2,1989,binghamton
Foreclosure,4 College St,Binghamton ,NY ,13905,30700,4,1,1381,binghamton
Pre-Foreclosure (Auction),Merrill St,Binghamton ,NY ,13905,,4,2,1824,binghamton
House For Sale,227 Riverside Dr,Binghamton ,NY ,13905,275000,4,4,3960,binghamton
Foreclosure,10 John St,Binghamton ,NY ,13903,36000,3,1,1368,binghamton
House For Sale,18 Patricia St,Binghamton ,NY ,13905,184900,3,2,2234,binghamton
Apartment For Sale,37 Park St,Binghamton ,NY ,13905,30000,,,,binghamton
Foreclosure,2463 Bernice Blvd,Binghamton ,NY ,13903,57900,3,2,2056,binghamton
House For Sale,365 Conklin Ave,Binghamton ,NY ,13903,263900,4,4,3352,binghamton
Foreclosed,673 Park Ave,Binghamton ,NY ,13903,,,,,binghamton
House For Sale,113 Gaylord St,Binghamton ,NY ,13904,29900,3,2,1274,binghamton
House For Sale,153 Bevier St,Binghamton ,NY ,13904,79850,3,2,1296,binghamton
House For Sale,5 Duane Ave,Binghamton ,NY ,13903,114850,4,2,1720,binghamton
House For Sale,11 Campbell Rd Ct,Binghamton ,NY ,13905,379900,5,5,4333,binghamton
Pre-Foreclosure (Auction),Aldrich Ave,Binghamton ,NY ,13903,,3,,1608,binghamton
Apartment For Sale,37 Haendel St,Binghamton ,NY ,13905,129000,,,,binghamton
Apartment For Sale,127 Laurel Ave,Binghamton ,NY ,13905,179000,,,,binghamton
Lot/Land For Sale,3247& 3249 Hunters Landing Rd,Binghamton ,NY ,13903,55000,,,,binghamton
For Sale by Owner,558 Hance Rd,Binghamton ,NY ,13903,750000,3,2,1800,binghamton
House For Sale,41 Beethoven St,Binghamton ,NY ,13905,169900,3,3,2672,binghamton
House For Sale,1425 Mill Rd,Binghamton ,NY ,13903,424900,5,4,3880,binghamton
Lot/Land For Sale,1193 Hawleyton Rd,Binghamton ,NY ,13903,18900,,,,binghamton
Pre-Foreclosure (Auction),Mildred St,Binghamton ,NY ,13903,,3,1,1176,binghamton
House For Sale,44 Beethoven St,Binghamton ,NY ,13905,102900,4,1,2898,binghamton
House For Sale,77 Helen St,Binghamton ,NY ,13905,135000,3,2,1288,binghamton
House For Sale,4255 Renole Dr,Binghamton ,NY ,13903,262000,4,3,3613,binghamton
Pre-Foreclosure (Auction),Beethoven St,Binghamton ,NY ,13905,,3,,2898,binghamton
Pre-Foreclosure (Auction),Kennedy St,Binghamton ,NY ,13903,,2,1,836,binghamton
Auction,3311 Jackson Rd,Binghamton ,NY ,13903,,3,,1082,binghamton
House For Sale,68 Colfax Ave,Binghamton ,NY ,13905,29900,2,1,768,binghamton
House For Sale,109 Morgan Rd,Binghamton ,NY ,13903,99900,3,2,852,binghamton
House For Sale,628 Chenango St,Binghamton ,NY ,13901,59399,3,1,1644,binghamton
Apartment For Sale,39 Charles St,Binghamton ,NY ,13905,85000,2,1,1800,binghamton
House For Sale,300 Robinson St,Binghamton ,NY ,13904,55000,5,3,2660,binghamton
Apartment For Sale,163 Oak St,Binghamton ,NY ,13905,180000,5,1,3045,binghamton
Apartment For Sale,24 Rutherford St,Binghamton ,NY ,13901,88900,,,,binghamton
Lot/Land For Sale,34 Midwood Dr,Binghamton ,NY ,13903,9000,,,,binghamton
Foreclosure,16 Penny Ln,Binghamton ,NY ,13905,57500,3,2,1920,binghamton
Apartment For Sale,49 Vine St,Binghamton ,NY ,13903,99000,,,,binghamton
Pre-Foreclosure (Auction),Cedar St,Binghamton ,NY ,13905,,3,1,1498,binghamton
Apartment For Sale,3 Judson Ave,Binghamton ,NY ,13905,100000,2,1,2200,binghamton
House For Sale,5 Rotary Ave,Binghamton ,NY ,13905,165000,6,2,3293,binghamton
House For Sale,5 Riverside Dr APT 201,Binghamton ,NY ,13905,64900,2,2,1180,binghamton
House For Sale,22 Pearl Ave,Binghamton ,NY ,13903,97500,3,2,1440,binghamton
House For Sale,19 Pierce St,Binghamton ,NY ,13903,69900,3,1,2170,binghamton
House For Sale,3510 Brigham St,Binghamton ,NY ,13903,75000,2,1,935,binghamton
Apartment For Sale,292 Robinson St,Binghamton ,NY ,13904,100000,2,1,1668,binghamton
Apartment For Sale,5 Burr Ave,Binghamton ,NY ,13903,40000,2,1,1853,binghamton
House For Sale,81 Leroy St,Binghamton ,NY ,13905,124900,3,3,2639,binghamton
For Sale by Owner,2244 Pierce Creek Rd,Binghamton ,NY ,13903,94900,3,1,1284,binghamton
Apartment For Sale,15 Highland Ave,Binghamton ,NY ,13905,181000,7,2,3875,binghamton
House For Sale,29 Howard Ave,Binghamton ,NY ,13904,59900,4,,1606,binghamton
House For Sale,81 Saratoga Ave,Binghamton ,NY ,13903,47900,4,2,2112,binghamton
House For Sale,181 Hawley St,Binghamton ,NY ,13901,75000,6,2,3581,binghamton
House For Sale,96 Crestmont Rd,Binghamton ,NY ,13905,149900,4,2,2035,binghamton
House For Sale,3760 Mill St,Binghamton ,NY ,13903,299000,3,4,4882,binghamton
Apartment For Sale,31 Mill St,Binghamton ,NY ,13903,75900,4,2,2290,binghamton
Apartment For Sale,43 Mill St,Binghamton ,NY ,13903,75000,2,1,2426,binghamton
House For Sale,36 Laurel Ave,Binghamton ,NY ,13905,275000,5,3,3123,binghamton
House For Sale,3 Green St,Binghamton ,NY ,13901,49900,3,1,1581,binghamton
House For Sale,126 Clifton Blvd,Binghamton ,NY ,13903,169900,4,3,1768,binghamton
House For Sale,2063 Partridge Ln,Binghamton ,NY ,13903,185000,4,3,2405,binghamton
House For Sale,2416 Theresa Blvd,Binghamton ,NY ,13903,179900,3,2,1649,binghamton
Apartment For Sale,32 Cypress St,Binghamton ,NY ,13905,82000,,,,binghamton
House For Sale,1 Rossmore Pl,Binghamton ,NY ,13904,59900,2,1,1045,binghamton
House For Sale,97 Schubert St,Binghamton ,NY ,13905,79900,4,2,1630,binghamton
House For Sale,75 Fairview Ave,Binghamton ,NY ,13904,48900,3,1,1237,binghamton
Apartment For Sale,20 Cypress St,Binghamton ,NY ,13905,124900,2,1,2291,binghamton
Apartment For Sale,17 Cypress St,Binghamton ,NY ,13905,194900,2,1,4700,binghamton
For Sale by Owner,96 Chapin St,Binghamton ,NY ,13905,129900,6,2,2042,binghamton
House For Sale,78 Mygatt St,Binghamton ,NY ,13905,58900,3,2,1324,binghamton
Apartment For Sale,8.5 Vine St,Binghamton ,NY ,13903,55250,3,1,1608,binghamton
House For Sale,24 Bennett Ave,Binghamton ,NY ,13905,160000,6,2,2578,binghamton
Foreclosed,207 Robinson St,Binghamton ,NY ,13904,,,,,binghamton
House For Sale,26 Linden St,Binghamton ,NY ,13901,69000,3,2,1408,binghamton
Foreclosure,47 Hayes St,Binghamton ,NY ,13903,39346,3,,1362,binghamton
For Sale by Owner,16 Elizabeth Ln,Binghamton ,NY ,13903,50000,3,3,1750,binghamton
House For Sale,22 2nd St,Binghamton ,NY ,13903,42500,4,1,2390,binghamton
House For Sale,1382 Reynolds Cir,Binghamton ,NY ,13903,299900,4,3,3360,binghamton
House For Sale,1110 Vestal Ave,Binghamton ,NY ,13903,89900,3,2,1650,binghamton
Apartment For Sale,13.5 Rutherford St,Binghamton ,NY ,13901,55000,2,1,1854,binghamton
Apartment For Sale,12 Clarke St,Binghamton ,NY ,13905,120000,4,1,2350,binghamton
House For Sale,44 Helen St,Binghamton ,NY ,13905,127900,2,1,1709,binghamton
Foreclosed,20 Hancock St,Binghamton ,NY ,13903,,,,,binghamton
For Sale by Owner,34 Rugby Rd,Binghamton ,NY ,13905,129500,3,2,1170,binghamton
Auction,726 Park Ave,Binghamton ,NY ,13903,,3,1,936,binghamton
House For Sale,46 George St,Binghamton ,NY ,13904,84900,3,1,1336,binghamton
House For Sale,3239 Dogwood Dr,Binghamton ,NY ,13903,259900,4,4,2914,binghamton
House For Sale,5 Chadwick Rd,Binghamton ,NY ,13903,159000,4,,2164,binghamton
Apartment For Sale,35 Rotary Ave,Binghamton ,NY ,13905,108000,,,,binghamton
House For Sale,19 Field St,Binghamton ,NY ,13905,129000,8,4,,binghamton
Apartment For Sale,111 Schubert St,Binghamton ,NY ,13905,99000,,,,binghamton
House For Sale,18 Macon St,Binghamton ,NY ,13903,97000,3,1,1496,binghamton
Apartment For Sale,20 Oliver St # 22,Binghamton ,NY ,13904,94000,,,,binghamton
House For Sale,9 Highland Ave,Binghamton ,NY ,13905,85000,3,1,1687,binghamton
Foreclosed,75 Bigelow St,Binghamton ,NY ,13904,,,,,binghamton
Apartment For Sale,534 Chenango St,Binghamton ,NY ,13901,189000,8,8,8139,binghamton
For Sale by Owner,N Ely St,Binghamton ,NY ,13901,68000,,,,binghamton
House For Sale,5 Moody St,Binghamton ,NY ,13904,66900,3,2,1192,binghamton
Apartment For Sale,25 Downs Ave,Binghamton ,NY ,13905,61900,,,,binghamton
Lot/Land For Sale,4144 Murphy Rd,Binghamton ,NY ,13903,15900,,,,binghamton
Apartment For Sale,49 Howard Ave,Binghamton ,NY ,13904,87000,,,,binghamton
House For Sale,114 Moore Ave,Binghamton ,NY ,13903,320000,3,3,2848,binghamton
House For Sale,6 Brevity Ct,Binghamton ,NY ,13905,375000,3,2,3671,binghamton
House For Sale,29 Holland St,Binghamton ,NY ,13905,79000,5,2,1886,binghamton
